,region,admissions_total,admissions_count_men,admissions_count_women,adm_per_100_000_all,adm_per_male,adm_per_female,year
169,Dorset,3928,1524,2402,939.1085641058745,747.4398713069409,1120.4769257322516,2016
170,Gloucestershire,1696,737,959,277.4269954787252,245.92406719032587,307.7209397842424,2016
171,North Somerset District,2047,829,1218,983.4065163292563,818.9271954954065,1139.126856458793,2016
172,Plymouth,4468,1627,2841,1708.3037018344764,1251.9429354099016,2159.011460011551,2016
173,Somerset,4622,1524,3098,853.3831601764373,576.8379138452455,1116.7585883710033,2016
174,South Gloucestershire,2651,966,1685,976.2258981572862,716.457761625751,1232.391790881032,2016
175,Swindon,1986,660,1326,920.3008354997012,613.5824850090643,1225.123343866068,2016
176,The Of The Isles Of Scilly,28,9,19,1228.0701754385964,783.9721254355401,1678.4452296819788,2016
177,Torbay,2523,802,1721,1897.2207182818986,1246.6579618230428,2506.846122472761,2016
178,Wiltshire,4869,1657,3212,1007.7761656486797,693.8337981224196,1314.6423820730586,2016
9,England,524725,175401,349279,995,710,1281,2017
11,North East,20188,7039,13148,781,565,991,2017
12,County Durham,3373,1283,2089,647,502,787,2017
13,Darlington,649,274,375,623,541,698,2017
14,Gateshead,1428,405,1023,716,427,1003,2017
15,Hartlepool,554,208,346,616,473,751,2017
16,Middlesbrough,829,298,531,657,496,812,2017
17,Newcastle-Upon-Tyne,1937,519,1418,737,451,1038,2017
18,North Tyneside,2658,953,1705,1315,982,1623,2017
19,Northumberland,4179,1586,2593,1292,961,1617,2017
20,Redcar And Cleveland,740,289,451,546,437,648,2017
21,South Tyneside,712,262,450,479,361,589,2017
22,Stockton-On-Tees,1030,365,665,548,410,682,2017
23,Sunderland,2099,597,1502,757,453,1054,2017
25,North West,78248,26808,51435,1126,811,1440,2017
26,Blackburn With Darwen,2287,701,1586,1733,1110,2342,2017
27,Blackpool,1015,372,643,733,542,919,2017
28,Bolton,2174,906,1268,827,715,936,2017
29,Bury,1115,519,596,623,610,637,2017
30,Cheshire East,2827,750,2077,802,393,1209,2017
31,Cheshire West And Chester,4627,1103,3524,1444,669,2190,2017
32,Cumbria,3374,1168,2206,674,440,913,2017
33,Halton,1465,533,932,1192,896,1474,2017
34,Knowsley,1892,664,1228,1334,1010,1621,2017
35,Lancashire,12744,4452,8289,1087,772,1398,2017
36,Liverpool,4042,1425,2617,926,750,1124,2017
37,Manchester,4811,1088,3723,1055,641,1486,2017
38,Oldham,1845,813,1032,893,812,964,2017
39,Rochdale,1640,690,948,836,733,934,2017
40,Salford,3925,1255,2670,1752,1255,2277,2017
41,Sefton,2966,1145,1821,1071,838,1310,2017
42,St. Helens,2148,833,1315,1212,960,1466,2017
43,Stockport,4070,1436,2634,1439,1043,1819,2017
44,Tameside,2422,789,1633,1129,765,1476,2017
45,Trafford,1418,412,1006,651,397,897,2017
46,Warrington,1400,649,751,696,664,729,2017
47,Wigan,4765,1796,2969,1505,1157,1850,2017
48,Wirral,9276,3309,5967,2931,2147,3687,2017
50,Yorkshire And The Humber,58312,17007,41302,1113,689,1536,2017
51,Barnsley,1234,482,752,520,410,625,2017
52,Bradford,9112,2539,6573,1904,1175,2625,2017
53,Calderdale,1605,514,1091,793,521,1057,2017
54,Doncaster,3052,550,2501,1007,378,1662,2017
55,East Riding Of Yorkshire,2433,822,1611,705,449,962,2017
56,Kingston Upon Hull,1390,356,1034,565,317,817,2017
57,Kirklees,4593,1161,3432,1104,596,1609,2017
58,Leeds,7871,2379,5492,1114,756,1463,2017
59,North East Lincolnshire,2215,564,1650,1418,750,2088,2017
60,North Lincolnshire,1047,279,768,634,329,940,2017
61,North Yorkshire,7166,2694,4471,1173,856,1512,2017
62,Rotherham,2873,803,2070,1131,640,1608,2017
63,Sheffield,4196,1018,3178,777,423,1132,2017
64,Wakefield,6816,1945,4871,2069,1213,2894,2017
65,York,2709,901,1808,1364,1017,1718,2017
67,East Midlands,49582,15557,34022,1086,706,1465,2017
68,Derby,3341,452,2889,1287,424,2160,2017
69,Derbyshire,9576,2562,7014,1256,647,1849,2017
70,Leicester,2031,639,1392,732,522,942,2017
71,Leicestershire,4464,1637,2827,675,500,845,2017
72,Lincolnshire,7621,2659,4962,1025,709,1338,2017
73,Northamptonshire,6501,2312,4189,944,699,1191,2017
74,Nottingham,5018,1483,3535,1849,1315,2434,2017
75,Nottinghamshire,10878,3762,7113,1363,947,1780,2017
76,Rutland,152,51,101,401,238,609,2017
78,West Midlands,76743,22952,53784,1386,877,1897,2017
79,Birmingham,12752,2271,10478,1213,546,1864,2017
80,Coventry,5593,1711,3882,1882,1272,2504,2017
81,Dudley,4876,1109,3767,1587,731,2423,2017
82,Herefordshire,1530,678,852,785,694,885,2017
83,Sandwell,3132,793,2339,1038,592,1478,2017
84,Shropshire,2675,824,1850,864,504,1252,2017
85,Solihull,1939,273,1666,1002,269,1715,2017
86,Staffordshire,8816,3063,5752,1021,709,1347,2017
87,Stoke-On-Trent,3120,880,2240,1281,771,1804,2017
88,Telford And Wrekin,1873,458,1414,1131,588,1683,2017
89,Walsall,4763,1569,3194,1831,1272,2376,2017
90,Warwickshire,7646,2536,5110,1394,935,1854,2017
91,Wolverhampton,5041,1716,3324,2129,1566,2690,2017
92,Worcestershire,12987,5071,7916,2225,1742,2707,2017
94,East Of England,49786,18441,31339,844,649,1037,2017
95,Bedford,894,405,489,575,535,613,2017
96,Cambridgeshire,5486,2265,3221,887,767,1021,2017
97,Central Bedfordshire,1747,664,1083,658,516,801,2017
98,Essex,8159,3221,4938,574,465,681,2017
99,Hertfordshire,11866,4359,7503,1096,862,1319,2017
100,Luton,2081,578,1502,1110,715,1514,2017
101,Norfolk,7349,2552,4796,820,565,1077,2017
102,Peterborough,1178,381,797,654,479,839,2017
103,Southend-On-Sea,585,259,326,340,314,367,2017
104,Suffolk,9441,3329,6112,1280,897,1678,2017
105,Thurrock,1000,428,572,704,639,762,2017
107,London,53267,17720,35533,748,571,921,2017
108,Barking And Dagenham,1365,512,853,929,773,1075,2017
109,Barnet,1639,581,1057,513,405,617,2017
110,Bexley,1805,698,1105,812,688,926,2017
111,Brent,3299,1142,2156,1231,898,1555,2017
112,Bromley,1517,566,951,497,409,577,2017
113,Camden,804,291,513,432,345,520,2017
114,City Of London,26,14,12,336,321,346,2017
115,Croydon,2525,843,1682,750,571,918,2017
116,Ealing,2929,1024,1905,1059,800,1310,2017
117,Enfield,2455,885,1564,901,729,1062,2017
118,Greenwich,1627,529,1098,705,546,870,2017
119,Hackney,2957,558,2399,1478,802,2125,2017
120,Hammersmith And Fulham,959,390,569,719,661,777,2017
121,Haringey,2034,604,1430,989,711,1256,2017
122,Harrow,2306,879,1427,1042,831,1246,2017
123,Havering,1475,651,824,626,585,663,2017
124,Hillingdon,2697,727,1969,965,591,1336,2017
125,Hounslow,1289,443,846,577,443,715,2017
126,Islington,1590,489,1101,994,738,1248,2017
127,Kensington And Chelsea,504,201,303,350,319,386,2017
128,Kingston Upon Thames,663,192,471,421,298,542,2017
129,Lambeth,1911,628,1283,881,695,1063,2017
130,Lewisham,1353,379,974,561,391,722,2017
131,Merton,988,370,618,608,523,691,2017
132,Newham,2017,623,1394,962,680,1250,2017
133,Redbridge,1472,556,915,637,515,752,2017
134,Richmond Upon Thames,594,213,381,351,284,414,2017
135,Southwark,2102,657,1445,973,733,1207,2017
136,Sutton,1093,339,754,576,402,736,2017
137,Tower Hamlets,1347,430,915,858,575,1146,2017
138,Waltham Forest,1725,516,1209,787,556,1010,2017
139,Wandsworth,1151,462,689,583,539,629,2017
140,Westminster,1049,328,721,530,370,693,2017
142,South East,71183,26019,45161,826,629,1021,2017
143,Bracknell Forest,776,320,456,739,642,833,2017
144,Brighton And Hove,2093,793,1300,877,713,1043,2017
145,Buckinghamshire,4549,1873,2675,902,772,1030,2017
146,East Sussex,3223,1232,1991,591,449,729,2017
147,Hampshire,10251,3819,6432,765,582,944,2017
148,Isle Of Wight,1941,779,1162,1325,1037,1623,2017
149,Kent,10471,4134,6337,708,575,839,2017
150,Medway,3641,1167,2474,1395,959,1833,2017
151,Milton Keynes,2108,672,1436,918,640,1191,2017
152,Oxfordshire,3700,1158,2542,569,378,766,2017
153,Portsmouth,1725,598,1127,939,706,1188,2017
154,Reading,712,230,482,552,379,732,2017
155,Slough,2945,1050,1895,2627,2065,3183,2017
156,Southampton,5667,2028,3639,2703,2122,3326,2017
157,Surrey,4925,1512,3411,444,280,604,2017
158,West Berkshire,660,257,403,434,349,521,2017
159,West Sussex,9158,3313,5845,1101,806,1387,2017
160,Windsor And Maidenhead,2040,840,1200,1457,1263,1653,2017
161,Wokingham,598,244,354,392,331,450,2017
163,South West,67289,23786,43500,1233,887,1583,2017
164,Bath And North East Somerset,1777,646,1131,1025,790,1259,2017
165,Bournemouth,3450,1474,1976,1938,1786,2134,2017
166,Bristol,7614,2372,5242,1952,1436,2486,2017
167,Cornwall,12291,4008,8283,2245,1396,3079,2017
168,Devon,7218,2521,4697,921,627,1221,2017
169,Dorset,4779,1983,2796,1043,820,1279,2017
170,Gloucestershire,3610,1489,2121,583,491,674,2017
171,Isles Of Scilly,26,13,13,1018,891,1109,2017
172,North Somerset,2548,847,1701,1241,792,1669,2017
173,Plymouth,2419,948,1471,989,810,1168,2017
174,Poole,2163,834,1329,1437,1121,1775,2017
175,Somerset,5229,1742,3486,966,621,1307,2017
176,South Gloucestershire,3742,1204,2538,1412,953,1877,2017
177,Swindon,2521,905,1616,1249,945,1547,2017
178,Torbay,2920,1021,1897,2257,1474,3022,2017
179,Wiltshire,4982,1779,3203,1043,746,1354,2017
11,England,616961,208290,408630,1159,833,1486,2018
13,North East,22376,7759,14616,861,619,1097,2018
14,Darlington,696,303,393,662,597,721,2018
15,County Durham,3685,1414,2270,703,552,853,2018
16,Gateshead,1646,454,1192,823,477,1170,2018
17,Hartlepool,798,310,488,883,701,1057,2018
18,Middlesbrough,825,326,499,653,536,765,2018
19,Newcastle-Upon-Tyne,1982,602,1380,745,527,986,2018
20,North Tyneside,2916,934,1982,1432,952,1871,2018
21,Northumberland,4454,1668,2786,1360,1005,1705,2018
22,Redcar And Cleveland,812,313,499,602,476,717,2018
23,South Tyneside,806,300,506,541,419,660,2018
24,Stockton-On-Tees,1415,504,911,751,562,935,2018
25,Sunderland,2341,631,1710,842,476,1200,2018
27,North West,90253,32066,58185,1290,963,1618,2018
28,Blackburn With Darwen,2924,858,2066,2221,1400,3039,2018
29,Blackpool,1606,499,1107,1180,731,1629,2018
30,Bolton,2178,879,1299,823,685,957,2018
31,Bury,1531,662,869,848,762,925,2018
32,Cheshire East,3654,1082,2572,1016,563,1469,2018
33,Cheshire West And Chester,4023,1187,2836,1228,710,1729,2018
34,Cumbria,3729,1198,2531,750,449,1056,2018
35,Halton,1491,534,957,1209,893,1511,2018
36,Knowsley,2052,775,1277,1436,1179,1669,2018
37,Lancashire,14977,5353,9622,1267,921,1612,2018
38,Liverpool,4693,1502,3191,1054,778,1346,2018
39,Manchester,4944,1229,3715,1065,705,1450,2018
40,Oldham,2193,958,1235,1057,968,1141,2018
41,Rochdale,1913,839,1074,971,889,1047,2018
42,Salford,5142,1852,3290,2328,1835,2843,2018
43,Sefton,2929,1145,1784,1045,831,1271,2018
44,St. Helens,2267,851,1416,1270,968,1567,2018
45,Stockport,5296,2034,3262,1857,1464,2238,2018
46,Tameside,2154,781,1373,1000,754,1239,2018
47,Trafford,1701,505,1196,769,481,1051,2018
48,Warrington,1506,677,829,741,685,796,2018
49,Wigan,7493,3056,4437,2361,1967,2753,2018
50,Wirral,9857,3610,6247,3094,2324,3840,2018
52,Yorkshire And The Humber,67858,20651,47203,1284,830,1742,2018
53,Barnsley,1153,413,740,481,349,614,2018
54,Calderdale,2697,852,1844,1329,868,1778,2018
55,Bradford,9744,2754,6990,1999,1258,2737,2018
56,Doncaster,5007,689,4317,1641,467,2860,2018
57,East Riding Of Yorkshire,2899,1097,1802,817,596,1040,2018
58,Kingston Upon Hull,1406,510,896,612,466,763,2018
59,Kirklees,6242,1806,4436,1493,912,2075,2018
60,Leeds,8862,2868,5994,1241,903,1576,2018
61,North East Lincolnshire,1947,581,1365,1243,762,1731,2018
62,North Lincolnshire,1288,311,976,780,363,1204,2018
63,North Yorkshire,8408,3274,5134,1359,1025,1721,2018
64,Rotherham,2915,811,2104,1140,642,1623,2018
65,Sheffield,4140,1102,3038,752,451,1057,2018
66,Wakefield,7380,2216,5164,2226,1379,3058,2018
67,York,3770,1367,2403,1907,1533,2300,2018
69,East Midlands,64200,20849,43347,1391,938,1846,2018
70,Derby,3663,676,2987,1444,629,2273,2018
71,Derbyshire,12393,3701,8691,1603,935,2260,2018
72,Leicester,2952,928,2024,1025,742,1315,2018
73,Leicestershire,7101,2490,4610,1053,749,1352,2018
74,Lincolnshire,8540,2987,5553,1131,788,1470,2018
75,Northamptonshire,9482,3605,5877,1367,1088,1657,2018
76,Nottingham,4319,1108,3211,1461,891,2080,2018
77,Nottinghamshire,15501,5249,10250,1934,1320,2545,2018
78,Rutland,249,105,144,630,511,783,2018
80,West Midlands,92389,28426,63950,1655,1078,2237,2018
81,Birmingham,14039,2591,11445,1328,620,2023,2018
82,Coventry,5878,1843,4035,1985,1352,2630,2018
83,Dudley,5425,1228,4196,1758,807,2681,2018
84,Herefordshire,1920,731,1189,994,731,1286,2018
85,Sandwell,3351,880,2470,1105,638,1561,2018
86,Shropshire,4499,1462,3037,1392,879,1934,2018
87,Solihull,2510,399,2111,1288,390,2167,2018
88,Staffordshire,13753,4853,8897,1573,1113,2051,2018
89,Stoke-On-Trent,4123,1213,2910,1699,1054,2356,2018
90,Telford And Wrekin,2724,761,1962,1660,1005,2337,2018
91,Walsall,6336,2236,4099,2425,1831,3007,2018
92,Warwickshire,8888,2966,5921,1613,1082,2144,2018
93,Wolverhampton,5662,1896,3765,2358,1708,3018,2018
94,Worcestershire,13281,5367,7913,2243,1822,2669,2018
96,East Of England,57815,22000,35811,970,765,1176,2018
97,Bedford,1022,408,614,654,538,768,2018
98,Cambridgeshire,7022,3036,3986,1125,1014,1253,2018
99,Central Bedfordshire,1896,759,1137,706,586,825,2018
100,Essex,9611,3761,5850,671,536,805,2018
101,Hertfordshire,14692,5547,9143,1342,1084,1589,2018
102,Luton,1682,581,1101,914,690,1148,2018
103,Norfolk,8911,3163,5747,986,688,1288,2018
104,Peterborough,1319,539,780,769,674,872,2018
105,Southend-On-Sea,709,290,419,411,348,469,2018
106,Suffolk,10009,3539,6469,1352,943,1778,2018
107,Thurrock,942,377,565,642,546,728,2018
109,London,61904,20481,41417,852,651,1050,2018
110,City Of London,36,13,23,413,305,564,2018
111,Barking And Dagenham,2078,590,1488,1250,851,1625,2018
112,Barnet,1941,709,1231,596,477,711,2018
113,Bexley,1726,675,1051,767,657,870,2018
114,Brent,3436,1209,2227,1282,967,1596,2018
115,Bromley,1688,571,1117,545,405,672,2018
116,Camden,927,350,577,499,411,589,2018
117,Croydon,2702,754,1947,778,502,1032,2018
118,Ealing,3748,1469,2279,1339,1146,1537,2018
119,Enfield,2597,931,1666,932,748,1104,2018
120,Greenwich,1599,620,979,702,623,785,2018
121,Hackney,3481,749,2732,1811,1053,2530,2018
122,Hammersmith And Fulham,1406,509,897,1055,867,1229,2018
123,Haringey,2079,668,1409,996,770,1219,2018
124,Harrow,2604,1031,1573,1185,978,1380,2018
125,Havering,2279,800,1478,944,717,1157,2018
126,Hillingdon,2641,877,1764,971,730,1215,2018
127,Hounslow,1437,628,809,665,636,701,2018
128,Islington,1747,522,1225,1100,785,1414,2018
129,Lambeth,2634,653,1981,1129,743,1511,2018
130,Lewisham,1796,440,1356,708,446,954,2018
131,Merton,1011,375,636,623,529,713,2018
132,Newham,2061,671,1389,961,699,1227,2018
133,Redbridge,1949,642,1307,780,584,975,2018
134,Richmond Upon Thames,660,275,385,389,355,421,2018
135,Southwark,2790,734,2056,1155,793,1513,2018
136,Sutton,1186,385,801,629,458,785,2018
137,Tower Hamlets,1667,536,1131,995,702,1303,2018
138,Waltham Forest,1743,536,1207,785,552,1013,2018
139,Wandsworth,1354,513,841,637,573,696,2018
140,Kensington And Chelsea,733,286,447,518,440,598,2018
141,Kingston Upon Thames,870,268,602,536,404,672,2018
142,Westminster,1298,492,806,647,539,766,2018
144,South East,82787,30191,52590,950,721,1178,2018
145,Bracknell Forest,883,330,553,807,643,969,2018
146,Brighton And Hove,2395,885,1509,978,770,1188,2018
147,Buckinghamshire,4553,1781,2771,892,720,1056,2018
148,East Sussex,4191,1547,2644,765,554,973,2018
149,Hampshire,12436,4557,7879,918,685,1146,2018
150,Isle Of Wight,2118,875,1243,1414,1154,1675,2018
151,Kent,14269,5815,8454,947,798,1095,2018
152,Medway,4173,1387,2786,1600,1132,2067,2018
153,Milton Keynes,2870,1059,1811,1256,1013,1501,2018
154,Oxfordshire,3831,1227,2603,586,398,781,2018
155,Portsmouth,2239,720,1519,1197,841,1567,2018
156,Reading,741,254,487,568,404,734,2018
157,Windsor And Maidenhead,2035,770,1265,1437,1137,1728,2018
158,Slough,2884,951,1933,2588,1931,3247,2018
159,Southampton,5690,1892,3798,2683,1981,3422,2018
160,Surrey,6115,1958,4155,547,360,729,2018
161,West Berkshire,741,307,434,485,410,564,2018
162,West Sussex,10046,3664,6381,1198,882,1506,2018
163,Wokingham,577,212,365,372,287,458,2018
165,South West,77250,25792,51458,1405,949,1868,2018
166,Bath And North East Somerset,1490,563,927,845,679,1017,2018
167,Poole,2411,941,1470,1586,1254,1935,2018
168,Bournemouth,4102,1818,2284,2281,2155,2455,2018
169,Bristol,8775,2203,6572,2105,1314,2924,2018
170,Cornwall,13695,4354,9341,2492,1501,3475,2018
171,Devon,7439,2470,4969,936,601,1279,2018
172,Dorset,5583,2333,3250,1187,956,1427,2018
173,Gloucestershire,5347,1832,3515,865,595,1132,2018
174,Isles Of Scilly,36,16,20,1488,1303,1712,2018
175,North Somerset,3095,982,2113,1504,909,2075,2018
176,Plymouth,2463,972,1491,1005,826,1186,2018
177,Somerset,6771,2210,4561,1249,781,1717,2018
178,South Gloucestershire,5055,1448,3607,1867,1121,2625,2018
179,Swindon,2977,942,2035,1444,954,1931,2018
180,Torbay,2969,871,2098,2316,1276,3339,2018
181,Wiltshire,5042,1837,3205,1052,764,1355,2018
11,England,710562,243565,466978,1322.8,963.1,1685.2,2019
13,North East,24410,8645,15765,932,684,1177,2019
14,Darlington,645,295,355,614,576,648,2019
15,County Durham,3700,1495,2200,702,580,825,2019
16,Gateshead,1915,490,1425,941,512,1372,2019
17,Hartlepool,1220,415,805,1351,948,1742,2019
18,Middlesbrough,880,375,505,692,619,764,2019
19,Newcastle-Upon-Tyne,1985,645,1340,754,570,965,2019
20,North Tyneside,2745,975,1770,1336,981,1668,2019
21,Northumberland,4500,1600,2895,1362,943,1770,2019
22,Redcar And Cleveland,875,360,515,641,539,735,2019
23,South Tyneside,1025,345,680,684,478,885,2019
24,Stockton-On-Tees,2120,755,1365,1119,831,1398,2019
25,Sunderland,2800,885,1915,1000,668,1329,2019
27,North West,112385,41370,71015,1595,1231,1959,2019
28,Blackburn With Darwen,3390,1050,2345,2538,1655,3426,2019
29,Blackpool,2425,805,1620,1750,1164,2346,2019
30,Bolton,2170,950,1220,810,730,889,2019
31,Bury,2015,785,1230,1105,898,1304,2019
32,Cheshire East,5605,1950,3655,1502,1006,1996,2019
33,Cheshire West And Chester,5080,1590,3495,1526,943,2088,2019
34,Cumbria,5245,1845,3395,1034,687,1384,2019
35,Halton,1815,670,1145,1444,1105,1771,2019
36,Knowsley,2135,765,1370,1477,1155,1768,2019
37,Lancashire,18185,6775,11410,1528,1161,1894,2019
38,Liverpool,5990,2125,3865,1334,1088,1610,2019
39,Manchester,7055,2110,4945,1645,1205,2101,2019
40,Oldham,2790,1150,1640,1322,1158,1485,2019
41,Rochdale,2670,990,1680,1321,1036,1598,2019
42,Salford,6215,2170,4045,2819,2138,3515,2019
43,Sefton,3105,1185,1915,1113,853,1377,2019
44,St. Helens,2430,975,1455,1353,1099,1605,2019
45,Stockport,6225,2470,3750,2171,1771,2551,2019
46,Tameside,2390,995,1395,1101,949,1252,2019
47,Trafford,3225,1170,2055,1464,1130,1794,2019
48,Warrington,2000,900,1095,971,903,1044,2019
49,Wigan,8915,3720,5190,2793,2380,3208,2019
50,Wirral,11300,4215,7085,3516,2689,4332,2019
52,Yorkshire And The Humber,73575,23680,49890,1389,945,1836,2019
53,Barnsley,1630,680,950,673,569,772,2019
54,Calderdale,2810,795,2015,1390,805,1969,2019
55,Bradford,9980,3090,6890,2080,1407,2747,2019
56,Doncaster,4775,1235,3540,1561,834,2310,2019
57,East Riding Of Yorkshire,4260,1605,2655,1211,872,1555,2019
58,Kingston Upon Hull,2415,635,1780,951,571,1351,2019
59,Kirklees,6660,1840,4820,1591,932,2258,2019
60,Leeds,6810,2265,4545,965,710,1214,2019
61,North East Lincolnshire,1680,645,1035,1060,831,1290,2019
62,North Lincolnshire,1150,420,730,669,486,853,2019
63,North Yorkshire,9475,3700,5770,1492,1146,1870,2019
64,Rotherham,3910,1220,2690,1508,963,2042,2019
65,Sheffield,5295,1520,3775,974,616,1333,2019
66,Wakefield,7600,2205,5395,2258,1339,3153,2019
67,York,5125,1820,3305,2573,2036,3141,2019
69,East Midlands,88510,29640,58865,1893,1316,2472,2019
70,Derby,4455,1065,3390,1815,999,2645,2019
71,Derbyshire,16090,5315,10775,2034,1319,2737,2019
72,Leicester,4040,1160,2885,1402,910,1887,2019
73,Leicestershire,9705,3445,6255,1420,1023,1807,2019
74,Lincolnshire,9325,3335,5985,1217,864,1567,2019
75,Northamptonshire,13465,4665,8800,1908,1379,2442,2019
76,Nottingham,8510,2520,5985,3099,2188,4086,2019
77,Nottinghamshire,22540,8000,14545,2758,1980,3535,2019
78,Rutland,380,135,245,942,627,1336,2019
80,West Midlands,102675,32085,70590,1817,1202,2440,2019
81,Birmingham,14265,3145,11120,1398,755,2028,2019
82,Coventry,6515,2195,4320,2166,1624,2724,2019
83,Dudley,6680,1645,5040,2153,1067,3209,2019
84,Herefordshire,1785,580,1200,925,562,1317,2019
85,Sandwell,3910,1155,2750,1288,841,1735,2019
86,Shropshire,5200,1945,3250,1567,1147,2024,2019
87,Solihull,2505,600,1905,1243,586,1889,2019
88,Staffordshire,18025,6335,11690,2045,1440,2680,2019
89,Stoke-On-Trent,5110,1475,3635,2076,1267,2915,2019
90,Telford And Wrekin,3385,1060,2325,2018,1334,2717,2019
91,Walsall,5285,1575,3710,1986,1270,2684,2019
92,Warwickshire,11295,4005,7290,2009,1442,2584,2019
93,Wolverhampton,6440,1765,4675,2597,1568,3646,2019
94,Worcestershire,12285,4605,7680,2054,1536,2569,2019
96,East Of England,66215,24185,42030,1100,832,1370,2019
97,Bedford,1340,600,735,837,777,895,2019
98,Cambridgeshire,6830,2760,4070,1092,916,1287,2019
99,Central Bedfordshire,2330,885,1445,856,677,1034,2019
100,Essex,12160,4645,7515,840,658,1020,2019
101,Hertfordshire,15025,5390,9635,1361,1049,1661,2019
102,Luton,2080,640,1440,1117,775,1479,2019
103,Norfolk,11200,3900,7305,1227,843,1612,2019
104,Peterborough,1945,580,1365,1060,705,1427,2019
105,Southend-On-Sea,1370,400,970,767,473,1055,2019
106,Suffolk,10895,3955,6935,1434,1029,1858,2019
107,Thurrock,1040,425,615,685,593,767,2019
109,London,75815,24150,51665,1012,757,1266,2019
110,City Of London,45,15,30,591,374,886,2019
111,Barking And Dagenham,2595,695,1895,1520,989,2026,2019
112,Barnet,2290,810,1480,685,542,825,2019
113,Bexley,2270,860,1410,983,824,1135,2019
114,Brent,4335,1410,2925,1569,1131,2018,2019
115,Bromley,2730,720,2005,863,503,1189,2019
116,Camden,1265,475,790,641,541,749,2019
117,Croydon,3075,885,2190,874,575,1152,2019
118,Ealing,4575,1555,3020,1588,1198,1978,2019
119,Enfield,2780,930,1850,986,739,1211,2019
120,Greenwich,2485,635,1850,973,612,1341,2019
121,Hackney,3685,865,2820,1936,1188,2646,2019
122,Hammersmith And Fulham,1810,675,1135,1314,1198,1442,2019
123,Haringey,2100,675,1420,988,757,1222,2019
124,Harrow,3140,1205,1935,1411,1151,1667,2019
125,Havering,2975,1025,1950,1216,917,1497,2019
126,Hillingdon,2765,865,1900,1005,719,1296,2019
127,Hounslow,2030,805,1225,898,776,1026,2019
128,Islington,1885,590,1290,1173,857,1486,2019
129,Lambeth,3375,805,2570,1357,909,1812,2019
130,Lewisham,2355,530,1830,886,549,1213,2019
131,Merton,1170,470,695,697,645,749,2019
132,Newham,2235,710,1525,1003,695,1314,2019
133,Redbridge,2435,785,1650,944,692,1204,2019
134,Richmond Upon Thames,860,365,495,491,463,517,2019
135,Southwark,3690,930,2760,1453,980,1922,2019
136,Sutton,1280,465,815,672,531,800,2019
137,Tower Hamlets,1875,615,1260,1066,749,1390,2019
138,Waltham Forest,1985,660,1325,879,677,1086,2019
139,Wandsworth,1710,610,1100,787,693,874,2019
140,Kensington And Chelsea,1055,420,630,741,654,836,2019
141,Kingston Upon Thames,1090,370,715,705,569,849,2019
142,Westminster,1870,715,1155,889,753,1048,2019
144,South East,90040,33220,56820,1023,783,1262,2019
145,Bracknell Forest,765,290,475,692,562,821,2019
146,Brighton And Hove,2435,930,1505,992,801,1184,2019
147,Buckinghamshire,4590,1765,2825,896,712,1071,2019
148,East Sussex,7155,2715,4440,1260,952,1561,2019
149,Hampshire,13255,4860,8395,968,719,1213,2019
150,Isle Of Wight,1725,800,930,1077,1000,1157,2019
151,Kent,15460,6365,9095,1014,859,1166,2019
152,Medway,4320,1470,2845,1645,1198,2092,2019
153,Milton Keynes,3645,1290,2355,1540,1182,1894,2019
154,Oxfordshire,4290,1330,2960,656,429,891,2019
155,Portsmouth,2390,760,1630,1258,877,1657,2019
156,Reading,565,225,345,425,348,503,2019
157,Windsor And Maidenhead,1955,805,1150,1364,1162,1562,2019
158,Slough,2960,1000,1960,2644,2019,3273,2019
159,Southampton,5200,1810,3390,2457,1901,3060,2019
160,Surrey,7490,2490,5000,664,451,871,2019
161,West Berkshire,675,265,405,432,344,520,2019
162,West Sussex,10670,3850,6815,1257,913,1593,2019
163,Wokingham,490,205,285,313,272,353,2019
165,South West,76695,26485,50210,1378,961,1804,2019
166,Bath And North East Somerset,1940,655,1285,1091,779,1411,2019
167,Poole,2170,805,1360,1428,1067,1800,2019
168,Bournemouth,3975,1710,2265,2224,2041,2452,2019
169,Bristol,8460,2230,6230,2009,1326,2728,2019
170,Cornwall,13210,4435,8775,2350,1501,3185,2019
171,Devon,6505,2390,4115,800,574,1031,2019
172,Dorset,5480,2315,3160,1155,940,1380,2019
173,Gloucestershire,5140,2250,2885,806,722,890,2019
174,Isles Of Scilly,25,10,15,1091,707,1491,2019
175,North Somerset,3160,985,2175,1539,899,2167,2019
176,Plymouth,2905,1115,1790,1170,940,1411,2019
177,Somerset,7075,2275,4800,1290,786,1800,2019
178,South Gloucestershire,5140,1450,3695,1881,1106,2663,2019
179,Swindon,2805,885,1920,1337,887,1784,2019
180,Torbay,2485,775,1710,1865,1072,2659,2019
181,Wiltshire,6230,2200,4025,1270,892,1671,2019
