"ONS code","region","admissions_total","admissions_count_men","admissions_count_women","adm_per_100_000_all","adm_per_male","adm_per_female","yr"
"E92000001","England","365577","123423","242118","678.6808784502424","465.15091654776563","885.84569912725999",2015
"E12000001","North East","18824","6340","12484","721.09316252445433","495.91146807002832","937.218239570219",2015
"E06000005","Darlington","383","154","229","363.39140005313294","300.68728522336772","422.66519010705059",2015
"E06000047","Durham","2521","925","1596","488.60660869025907","365.28634500406747","607.46543042122926",2015
"E08000037","Gateshead","1363","440","923","681.50681506815067","448.52648854728386","905.7988792824267",2015
"E06000001","Hartlepool","506","172","334","546.05298656450657","380.35426018885033","703.98785937104799",2015
"E06000002","Middlesbrough","505","165","340","363.46886043515497","241.89646831156267","480.71485126116949",2015
"E08000021","Newcastle-upon-Tyne","2391","786","1605","833.62096917589724","545.02336805025857","1125.4706991942892",2015
"E08000022","North Tyneside","2922","924","1998","1445.4469903834738","946.21717937164624","1911.9617224880383",2015
"E06000057","Northumberland","4463","1642","2821","1413.2093753760219","1064.5815909076173","1746.0248689398206",2015
"E06000003","Redcar And Cleveland","541","170","371","400.90407202934529","259.28467932585983","534.73623522628998",2015
"E08000023","South Tyneside","637","227","410","428.88113865585819","316.46451972675311","533.88197301942807",2015
"E06000004","Stockton-on-Tees","838","263","575","433.75639247189383","277.70738300388581","583.80376071152989",2015
"E08000024","Sunderland","1754","472","1282","635.32309475514342","351.25058603778922","904.70914518394102",2015
"E12000002","North West","55848","19879","35963","786.23054766403038","568.78186146947087","996.68897389785116",2015
"E06000008","Blackburn with Darwen","1112","399","713","754.56846419531928","543.93761758050005","963.31824630142546",2015
"E06000009","Blackpool","703","283","420","497.1711456859972","407.2645636656689","584.04716876181999",2015
"E08000001","Bolton","1175","496","679","419.55744723395594","357.70434581933046","480.21500053042899",2015
"E08000002","Bury","898","388","510","481.43164260401977","425.19150055340646","535.29819258139673",2015
"E06000049","Cheshire East","1939","478","1461","520.24780860032138","261.81164897521006","768.40948178380393",2015
"E06000050","Cheshire West and Chester","3122","908","2214","943.12833433023388","563.19507762540081","1303.8638893305772",2015
"E10000006","Cumbria","2750","864","1886","552.13122653442292","352.09115248725504","746.40156087367768",2015
"E06000006","Halton","1158","437","721","919.26649202191004","710.9043288705243","1117.8467883222995",2015
"E08000011","Knowsley","1667","568","1099","1141.1086620210012","817.90167900239032","1433.9770354906054",2015
"E10000017","Lancashire","9348","3170","6174","792.15236984736566","545.44766283419426","1030.8865223358746",2015
"E08000012","Liverpool","3820","1299","2521","811.41934661625396","558.37105239403206","1058.62542464695",2015
"E08000003","Manchester","2722","901","1819","529.14269940534621","346.57711821703191","714.88645920941974",2015
"E08000004","Oldham","1287","596","691","566.18216372210884","533.09958049714214","598.20106827802931",2015
"E08000005","Rochdale","1341","585","756","632.18932679615307","562.10544521633847","699.69550288300456",2015
"E08000006","Salford","2597","957","1640","1086.5517775183775","799.13823337842575","1375.1582689776033",2015
"E08000014","Sefton","2672","957","1715","978.01300845146727","730.55108132247301","1205.9630124463822",2015
"E08000013","St Helens","1715","618","1097","973.20977636036559","713.38697203015158","1224.4396821144746",2015
